handle,field,default content (en),translated content (ar)
eraser-pen,title,Y.Plus Eraser Pen — Classic,ممحاة من Y.Plus — Eraser Pen — Classic
eraser-pen,body_html,<p>Y.Plus Eraser Pen — Classic that rubs out cleanly without tearing the page.</p><p>One of those small things every pencil case needs. From Y.Plus.</p>,<p>ممحاة من Y.Plus يمسح بنظافة دون إتلاف الورقة.</p><p>من الأشياء الصغيرة التي تحتاجها كل مقلمة.</p>
smart-hb-pencil-12pc-triangular,title,Y.Plus Smart HB Pencils — 12 Triangular,قلم رصاص من Y.Plus — Smart HB Pencils — 12 Triangular
smart-hb-pencil-12pc-triangular,body_html,<p>Y.Plus Smart HB Pencils — 12 Triangular for writing and sketching.</p><p>A classroom essential that sharpens cleanly and writes smoothly. From Y.Plus.</p>,<p>قلم رصاص من Y.Plus للكتابة والرسم.</p><p>أساسي في كل مقلمة — يُبرى بسهولة ويكتب بسلاسة.</p>
croc-pencil-sharpner,title,Y.Plus Croc Pencil Sharpener,براية من Y.Plus
croc-pencil-sharpner,body_html,"<p>Y.Plus Croc Pencil Sharpener for a clean, even point every time.</p><p>Compact enough for any pencil case. From Y.Plus.</p>",<p>براية من Y.Plus لسنّ نظيف ومتساوٍ في كل مرة.</p><p>حجم صغير يناسب أي مقلمة.</p>
croc-eraser,title,Y.Plus Croc Eraser,ممحاة من Y.Plus — Croc Eraser
croc-eraser,body_html,<p>Y.Plus Croc Eraser that rubs out cleanly without tearing the page.</p><p>One of those small things every pencil case needs. From Y.Plus.</p>,<p>ممحاة من Y.Plus يمسح بنظافة دون إتلاف الورقة.</p><p>من الأشياء الصغيرة التي تحتاجها كل مقلمة.</p>
small-eraser-line-jar,title,Y.Plus Small Erasers — Line Jar,ممحاة من Y.Plus — Small Erasers — Line Jar
small-eraser-line-jar,body_html,<p>Y.Plus Small Erasers — Line Jar that rubs out cleanly without tearing the page.</p><p>One of those small things every pencil case needs. From Y.Plus.</p>,<p>ممحاة من Y.Plus يمسح بنظافة دون إتلاف الورقة.</p><p>من الأشياء الصغيرة التي تحتاجها كل مقلمة.</p>
star-col-pencil-12pc,title,Y.Plus Star Colour Pencils — 12 Pieces,أقلام تلوين خشبية ١٢ قطعة من Y.Plus — Star Colour Pencils — 12 Pieces
star-col-pencil-12pc,body_html,"<p>Y.Plus Star Colour Pencils — 12 Pieces for smooth, vivid colouring.</p><p>A solid choice for school bags and home art corners — easy to sharpen and comfortable to hold. From Y.Plus.</p>",<p>أقلام تلوين خشبية ١٢ قطعة من Y.Plus لتلوين ناعم بألوان زاهية.</p><p>خيار ممتاز لحقيبة المدرسة وركن الرسم في البيت.</p>
smart-hb-pencil,title,Y.Plus Smart HB Pencil,قلم رصاص من Y.Plus — Smart HB Pencil
smart-hb-pencil,body_html,<p>Y.Plus Smart HB Pencil for writing and sketching.</p><p>A classroom essential that sharpens cleanly and writes smoothly. From Y.Plus.</p>,<p>قلم رصاص من Y.Plus للكتابة والرسم.</p><p>أساسي في كل مقلمة — يُبرى بسهولة ويكتب بسلاسة.</p>
monster-family-sticky-note,title,Monster Family Sticky Note,ملاحظات لاصقة من Y.Plus
monster-family-sticky-note,body_html,"<p>Monster Family Sticky Note for quick reminders, page markers and desk notes that peel off cleanly.</p><p>Handy for students and office desks alike — stick them on books, screens and planners. From Y.Plus.</p>",<p>ملاحظات لاصقة من Y.Plus للملاحظات السريعة وتعليم الصفحات، تُنزع بسهولة دون أثر.</p><p>عملية للطلاب وعلى مكاتب العمل — على الكتب والشاشات والمخططات.</p>
elephant-6-col-pen,title,Y.Plus Elephant Colour Pens — 6 Colours,أقلام تلوين خشبية ٦ لونًا من Y.Plus
elephant-6-col-pen,body_html,"<p>Y.Plus Elephant Colour Pens — 6 Colours for smooth, vivid colouring.</p><p>A solid choice for school bags and home art corners — easy to sharpen and comfortable to hold. From Y.Plus.</p>",<p>أقلام تلوين خشبية ٦ لونًا من Y.Plus لتلوين ناعم بألوان زاهية.</p><p>خيار ممتاز لحقيبة المدرسة وركن الرسم في البيت.</p>
easycut-scissors-130mm,title,Y.Plus EasyCut Scissors — 130 mm,مقص ١٣٠ مم من Y.Plus
easycut-scissors-130mm,body_html,"<p>Y.Plus EasyCut Scissors — 130 mm that cut cleanly and feel comfortable in hand.</p><p>Suits paper craft, school projects and everyday desk jobs. From Y.Plus.</p>",<p>مقص ١٣٠ مم من Y.Plus يقص بدقة وبقبضة مريحة.</p><p>يناسب أعمال الورق والمشاريع المدرسية ومهام المكتب اليومية.</p>
smart-color-pencil-12pcs,title,Y.Plus Smart Colour Pencils — 12 Pieces,أقلام تلوين خشبية ١٢ قطعة من Y.Plus — Smart Colour Pencils — 12 Pieces
smart-color-pencil-12pcs,body_html,"<p>Y.Plus Smart Colour Pencils — 12 Pieces for smooth, vivid colouring.</p><p>A solid choice for school bags and home art corners — easy to sharpen and comfortable to hold. From Y.Plus.</p>",<p>أقلام تلوين خشبية ١٢ قطعة من Y.Plus لتلوين ناعم بألوان زاهية.</p><p>خيار ممتاز لحقيبة المدرسة وركن الرسم في البيت.</p>
white-board-doodle,title,Whiteboard Doodle Set,سبورة بيضاء من Y.Plus
white-board-doodle,body_html,"<p>Whiteboard Doodle Set for writing, wiping and starting again.</p><p>Great for practice, planning and play. From Y.Plus.</p>",<p>سبورة بيضاء من Y.Plus للكتابة والمسح والبدء من جديد.</p><p>رائع للتدريب والتخطيط واللعب.</p>
a4-40-notebook-contact,title,Contact A4 Notebook — 40 Sheets,دفتر مقاس A4 ٤٠ ورقة من Contact
a4-40-notebook-contact,body_html,"<p>Contact A4 Notebook — 40 Sheets for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Contact.</p>",<p>دفتر مقاس A4 ٤٠ ورقة من Contact للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
a4-clear-folder-14mic,title,Flamingo A4 Clear Folder — 14 Micron,ملف مقاس A4 من Flamingo
a4-clear-folder-14mic,body_html,"<p>Flamingo A4 Clear Folder — 14 Micron to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents. From Flamingo.</p>",<p>ملف مقاس A4 من Flamingo لحفظ الأوراق مرتبة وآمنة.</p><p>نظام سريع لأوراق المدرسة والفواتير ومستندات المكتب.</p>
peanut-crayons-24-colour,title,Y.Plus Peanut Crayons — 24 Colours,ألوان شمعية ٢٤ لونًا من Y.Plus
peanut-crayons-24-colour,body_html,"<p>Y.Plus Peanut Crayons — 24 Colours — bold, easy-grip colour for little hands.</p><p>Ideal for toddlers and young artists at home or nursery. From Y.Plus.</p>",<p>ألوان شمعية ٢٤ لونًا من Y.Plus — ألوان جريئة بقبضة سهلة للأيدي الصغيرة.</p><p>مثالية للصغار في البيت أو الحضانة.</p>
glue-stick-15gm,title,Flamingo Glue Stick — 15 g,صمغ ١٥ غم من Flamingo
glue-stick-15gm,body_html,"<p>Flamingo Glue Stick — 15 g that sticks paper and card cleanly.</p><p>A school-bag staple for projects, collages and quick fixes. From Flamingo.</p>",<p>صمغ ١٥ غم من Flamingo يلصق الورق والكرتون بنظافة.</p><p>أساسي في حقيبة المدرسة للمشاريع والأشغال اليدوية.</p>
marine-animal-solid-watercolor-paint-set,title,Y.Plus Marine Animal Solid Watercolor Paint Set,ألوان مائية من Y.Plus — Marine Animal Solid Watercolor Paint Set
marine-animal-solid-watercolor-paint-set,body_html,"<p>Y.Plus Marine Animal Solid Watercolor Paint Set for bright, easy painting sessions.</p><p>Suits school projects and weekend art at home — just add water and paper. From Y.Plus.</p>",<p>ألوان مائية من Y.Plus لجلسات رسم مشرقة وسهلة.</p><p>يناسب مشاريع المدرسة وهوايات نهاية الأسبوع — فقط أضف الماء والورق.</p>
eva-zipper-bag,title,Flamingo EVA Zipper Bag,ملف من Flamingo — EVA Zipper Bag
eva-zipper-bag,body_html,"<p>Flamingo EVA Zipper Bag to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents. From Flamingo.</p>",<p>ملف من Flamingo لحفظ الأوراق مرتبة وآمنة.</p><p>نظام سريع لأوراق المدرسة والفواتير ومستندات المكتب.</p>
spinner-eraser-12pc-box,title,Y.Plus Spinner Erasers — Box of 12,ممحاة من Y.Plus — Spinner Erasers — Box of 12
spinner-eraser-12pc-box,body_html,<p>Y.Plus Spinner Erasers — Box of 12 that rubs out cleanly without tearing the page.</p><p>One of those small things every pencil case needs. From Y.Plus.</p>,<p>ممحاة من Y.Plus يمسح بنظافة دون إتلاف الورقة.</p><p>من الأشياء الصغيرة التي تحتاجها كل مقلمة.</p>
squeaky-clean-wall-coloring-stickers,title,Squeaky Clean Wall Colouring Stickers,ملصقات من Y.Plus
squeaky-clean-wall-coloring-stickers,body_html,"<p>Squeaky Clean Wall Colouring Stickers — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids. From Y.Plus.</p>",<p>ملصقات من Y.Plus — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
button-envelop-2-pocket,title,Flamingo Button Envelope 2 Pocket,ملف من Flamingo — Button Envelope 2 Pocket
button-envelop-2-pocket,body_html,"<p>Flamingo Button Envelope 2 Pocket to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents. From Flamingo.</p>",<p>ملف من Flamingo لحفظ الأوراق مرتبة وآمنة.</p><p>نظام سريع لأوراق المدرسة والفواتير ومستندات المكتب.</p>
button-envelop,title,Flamingo Button Envelope,ملف من Flamingo — Button Envelope
button-envelop,body_html,"<p>Flamingo Button Envelope to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents. From Flamingo.</p>",<p>ملف من Flamingo لحفظ الأوراق مرتبة وآمنة.</p><p>نظام سريع لأوراق المدرسة والفواتير ومستندات المكتب.</p>
star-24col-set-w-shr,title,Y.Plus Star Colour Pencils — 24 Colours with Sharpener,براية ٢٤ لونًا من Y.Plus
star-24col-set-w-shr,body_html,"<p>Y.Plus Star Colour Pencils — 24 Colours with Sharpener for a clean, even point every time.</p><p>Compact enough for any pencil case. From Y.Plus.</p>",<p>براية ٢٤ لونًا من Y.Plus لسنّ نظيف ومتساوٍ في كل مرة.</p><p>حجم صغير يناسب أي مقلمة.</p>
elephant-12-super-washable,title,Y.Plus Elephant Super Washable Colour Pens — 12 Colours,أقلام تلوين خشبية ١٢ لونًا من Y.Plus
elephant-12-super-washable,body_html,"<p>Y.Plus Elephant Super Washable Colour Pens — 12 Colours for smooth, vivid colouring.</p><p>A solid choice for school bags and home art corners — easy to sharpen and comfortable to hold. From Y.Plus.</p>",<p>أقلام تلوين خشبية ١٢ لونًا من Y.Plus لتلوين ناعم بألوان زاهية.</p><p>خيار ممتاز لحقيبة المدرسة وركن الرسم في البيت.</p>
peanut-crayons-fine-motor-box,title,Y.Plus Peanut Crayons — Fine Motor Box,ألوان شمعية من Y.Plus — Peanut Crayons — Fine Motor Box
peanut-crayons-fine-motor-box,body_html,"<p>Y.Plus Peanut Crayons — Fine Motor Box — bold, easy-grip colour for little hands.</p><p>Ideal for toddlers and young artists at home or nursery. From Y.Plus.</p>",<p>ألوان شمعية من Y.Plus — ألوان جريئة بقبضة سهلة للأيدي الصغيرة.</p><p>مثالية للصغار في البيت أو الحضانة.</p>
kw-cutting-knife-large,title,KW-triO Cutting Knife — Large,سكين قص من KW-triO
kw-cutting-knife-large,body_html,"<p>KW-triO Cutting Knife — Large for clean, precise cutting.</p><p>Keep one in the drawer for parcels, paper and craft board. Handle with care around children. From KW-triO.</p>",<p>سكين قص من KW-triO لقص دقيق ونظيف.</p><p>أداة عملية للطرود والورق وألواح الكرافت — يُستخدم بحذر بعيدًا عن الأطفال.</p>
display-file-18-pocket,title,Flamingo Display File 18 Pocket,ملف من Flamingo — Display File 18 Pocket
display-file-18-pocket,body_html,"<p>Flamingo Display File 18 Pocket to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents. From Flamingo.</p>",<p>ملف من Flamingo لحفظ الأوراق مرتبة وآمنة.</p><p>نظام سريع لأوراق المدرسة والفواتير ومستندات المكتب.</p>
zoo-ereaser,title,Y.Plus Zoo Eraser,ممحاة من Y.Plus — Zoo Eraser
zoo-ereaser,body_html,<p>Y.Plus Zoo Eraser that rubs out cleanly without tearing the page.</p><p>One of those small things every pencil case needs. From Y.Plus.</p>,<p>ممحاة من Y.Plus يمسح بنظافة دون إتلاف الورقة.</p><p>من الأشياء الصغيرة التي تحتاجها كل مقلمة.</p>
career-eraser,title,Y.Plus Career Eraser,ممحاة من Y.Plus — Career Eraser
career-eraser,body_html,<p>Y.Plus Career Eraser that rubs out cleanly without tearing the page.</p><p>One of those small things every pencil case needs. From Y.Plus.</p>,<p>ممحاة من Y.Plus يمسح بنظافة دون إتلاف الورقة.</p><p>من الأشياء الصغيرة التي تحتاجها كل مقلمة.</p>
pocket-water-color,title,Y.Plus Pocket Watercolour Set,ألوان مائية من Y.Plus — Pocket Watercolour Set
pocket-water-color,body_html,"<p>Y.Plus Pocket Watercolour Set for bright, easy painting sessions.</p><p>Suits school projects and weekend art at home — just add water and paper. From Y.Plus.</p>",<p>ألوان مائية من Y.Plus لجلسات رسم مشرقة وسهلة.</p><p>يناسب مشاريع المدرسة وهوايات نهاية الأسبوع — فقط أضف الماء والورق.</p>
princess-solid-watercolor-paint-set,title,Y.Plus Princess Solid Watercolor Paint Set,ألوان مائية من Y.Plus — Princess Solid Watercolor Paint Set
princess-solid-watercolor-paint-set,body_html,"<p>Y.Plus Princess Solid Watercolor Paint Set for bright, easy painting sessions.</p><p>Suits school projects and weekend art at home — just add water and paper. From Y.Plus.</p>",<p>ألوان مائية من Y.Plus لجلسات رسم مشرقة وسهلة.</p><p>يناسب مشاريع المدرسة وهوايات نهاية الأسبوع — فقط أضف الماء والورق.</p>
color-pencil-12in-metal-tube,title,Y.Plus Colour Pencils — 12 in a Metal Tube,أقلام تلوين خشبية من Y.Plus
color-pencil-12in-metal-tube,body_html,"<p>Y.Plus Colour Pencils — 12 in a Metal Tube for smooth, vivid colouring.</p><p>A solid choice for school bags and home art corners — easy to sharpen and comfortable to hold. From Y.Plus.</p>",<p>أقلام تلوين خشبية من Y.Plus لتلوين ناعم بألوان زاهية.</p><p>خيار ممتاز لحقيبة المدرسة وركن الرسم في البيت.</p>
60ml-whiteboard-cleaner,title,Whiteboard Cleaner — 60 ml,سبورة بيضاء ٦٠ مل من Flamingo
60ml-whiteboard-cleaner,body_html,"<p>Whiteboard Cleaner — 60 ml for writing, wiping and starting again.</p><p>Great for practice, planning and play. From Flamingo.</p>",<p>سبورة بيضاء ٦٠ مل من Flamingo للكتابة والمسح والبدء من جديد.</p><p>رائع للتدريب والتخطيط واللعب.</p>
scissors-8-5,title,Flamingo Scissors — 8.5 inch,مقص من Flamingo
scissors-8-5,body_html,"<p>Flamingo Scissors — 8.5 inch that cut cleanly and feel comfortable in hand.</p><p>Suits paper craft, school projects and everyday desk jobs. From Flamingo.</p>",<p>مقص من Flamingo يقص بدقة وبقبضة مريحة.</p><p>يناسب أعمال الورق والمشاريع المدرسية ومهام المكتب اليومية.</p>
eyes-tube,title,Googly Eyes Tube,مستلزمات كرافت من Flamingo
eyes-tube,body_html,"<p>Googly Eyes Tube for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Flamingo.</p>",<p>مستلزمات كرافت من Flamingo لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
kokuyo-a6-80sheets,title,Kokuyo A6 Notebook — 80 Sheets,دفتر مقاس A6 ٨٠ ورقة من Kokuyo
kokuyo-a6-80sheets,body_html,"<p>Kokuyo A6 Notebook — 80 Sheets for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Kokuyo.</p>",<p>دفتر مقاس A6 ٨٠ ورقة من Kokuyo للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
kokuyo-4mm-grid,title,Kokuyo Notebook — 4 mm Grid,دفتر ٤ مم من Kokuyo
kokuyo-4mm-grid,body_html,"<p>Kokuyo Notebook — 4 mm Grid for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Kokuyo.</p>",<p>دفتر ٤ مم من Kokuyo للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
campus-notebook,title,Kokuyo Campus Notebook — Style 1,دفتر Campus تصميم ١ من Kokuyo
campus-notebook,body_html,"<p>Kokuyo Campus Notebook for notes, lists and ideas.</p><p>Good paper in a practical format — for school, work or the bedside table. From Kokuyo.</p>",<p>دفتر Campus تصميم ١ من Kokuyo للملاحظات والقوائم والأفكار.</p><p>ورق جيد بحجم عملي — للمدرسة أو العمل أو بجانب السرير.</p>
nekoni-hamster,title,Nekoni Hamster,ملصقات Nekoni — Hamster
nekoni-hamster,body_html,"<p>Nekoni Hamster — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Nekoni — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
nekoni-wildlife,title,Nekoni Wildlife,ملصقات Nekoni — Wildlife
nekoni-wildlife,body_html,"<p>Nekoni Wildlife — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Nekoni — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
nekoni-sealife,title,Nekoni Sealife,ملصقات Nekoni — Sealife
nekoni-sealife,body_html,"<p>Nekoni Sealife — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Nekoni — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
nekoni-cat,title,Nekoni Cat — Style 1,ملصقات Nekoni تصميم ١
nekoni-cat,body_html,"<p>Nekoni Cat — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Nekoni تصميم ١ — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
black-cat,title,Black Cat,ملصقات أسود — Cat
black-cat,body_html,"<p>Black Cat — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات أسود — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
nekoni-black-cat,title,Nekoni Black Cat,ملصقات Nekoni أسود
nekoni-black-cat,body_html,"<p>Nekoni Black Cat — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Nekoni أسود — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
nekoni-cat-dog,title,Nekoni Cat & Dog,ملصقات Nekoni — Cat & Dog
nekoni-cat-dog,body_html,"<p>Nekoni Cat & Dog — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Nekoni — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
mickey-mouse,title,Mickey Mouse,ملصقات Mickey Mouse
mickey-mouse,body_html,"<p>Mickey Mouse — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Mickey Mouse — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
nekoni-lovley-kitty,title,Nekoni Lovely Kitty,ملصقات Nekoni — Lovely Kitty
nekoni-lovley-kitty,body_html,"<p>Nekoni Lovely Kitty — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Nekoni — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
moshi-moshi,title,Moshi Moshi Sticker Sheet — Style 1,ملصقات Moshi Moshi تصميم ١
moshi-moshi,body_html,"<p>Moshi Moshi Sticker Sheet — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Moshi Moshi تصميم ١ — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
winnie-the-pooh,title,Winnie the Pooh,ملصقات Winnie the Pooh
winnie-the-pooh,body_html,"<p>Winnie the Pooh — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Winnie the Pooh — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
winnie-the-pooh-36pcs,title,Winnie the Pooh — 36 Pieces,ملصقات Winnie the Pooh ٣٦ قطعة
winnie-the-pooh-36pcs,body_html,"<p>Winnie the Pooh — 36 Pieces — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Winnie the Pooh ٣٦ قطعة — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
mickey-mouse-36pcs,title,Mickey Mouse — 36 Pieces,ملصقات Mickey Mouse ٣٦ قطعة
mickey-mouse-36pcs,body_html,"<p>Mickey Mouse — 36 Pieces — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Mickey Mouse ٣٦ قطعة — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
beautiful-life,title,“Beautiful Life” Sticker Sheet,ملصقات — “Beautiful Life” Sticker Sheet
beautiful-life,body_html,"<p>“Beautiful Life” Sticker Sheet — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
moshi-moshi-2,title,Moshi Moshi Sticker Sheet — Style 2,ملصقات Moshi Moshi تصميم ٢
moshi-moshi-2,body_html,"<p>Moshi Moshi Sticker Sheet — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Moshi Moshi تصميم ٢ — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
daily-life-of-cats,title,Daily Life of Cats,ملصقات — Life of Cats
daily-life-of-cats,body_html,"<p>Daily Life of Cats — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
nekoni-mini,title,Nekoni Mini,ملصقات Nekoni — Mini
nekoni-mini,body_html,"<p>Nekoni Mini — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Nekoni — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
the-animal-family,title,The Animal Family,ملصقات — Animal Family
