Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
monster-family-sticky-note,Monster Family Sticky Note,"<p>Monster Family Sticky Note by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Stickers & Sticky Notes,"Stickers & Sticky Notes, Sticky Note, Y.Plus+",TRUE,Title,Default Title,6973157018232,6973157018232,200,,deny,manual,4.0,TRUE,TRUE,active
elephant-6-col-pen,Elephant 6 Col Pen,"<p>Elephant 6 Col Pen by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Pens & Pencils,"Pens & Pencils, Washable Pen, Y.Plus+",TRUE,Title,Default Title,4711678077374,4711678077374,200,,deny,manual,5.0,TRUE,TRUE,active
easycut-scissors-130mm,Easycut Scissors 130MM,"<p>Easycut Scissors 130MM by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Desk & Tools,"Desk & Tools, Scissors, Y.Plus+",TRUE,Title,Default Title,6973157015316,6973157015316,200,,deny,manual,4.0,TRUE,TRUE,active
smart-color-pencil-12pcs,Smart Color Pencil 12PCS,"<p>Smart Color Pencil 12PCS by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Pens & Pencils,"Pens & Pencils, Colour Pencil, Y.Plus+",TRUE,Title,Default Title,6973157019567,6973157019567,200,,deny,manual,8.0,TRUE,TRUE,active
white-board-doodle,White Board Doodle,"<p>White Board Doodle by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Desk & Tools,"Desk & Tools, White Board, Y.Plus+",TRUE,Title,Default Title,6973157016665,6973157016665,200,,deny,manual,10.0,TRUE,TRUE,active
a4-40-notebook-contact,A4-40 Notebook Contact,"<p>A4-40 Notebook Contact by Contact. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Contact,Notebooks & Books,"Notebooks & Books, Notebook, Contact",TRUE,Title,Default Title,4969757129258,4969757129258,200,,deny,manual,3.0,TRUE,TRUE,active
a4-clear-folder-14mic,A4 Clear Folder (14MIC),"<p>A4 Clear Folder (14MIC) by Flamingo. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Flamingo,Files & Folders,"Files & Folders, Folder, Flamingo",TRUE,Title,Default Title,4255778641429,4255778641429,200,,deny,manual,7.0,TRUE,TRUE,active
peanut-crayons-24-colour,Peanut Crayons 24 Colour,"<p>Peanut Crayons 24 Colour by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Art & Craft,"Art & Craft, Crayons, Y.Plus+",TRUE,Title,Default Title,4711678080831,4711678080831,200,,deny,manual,17.0,TRUE,TRUE,active
glue-stick-15gm,Glue Stick - 15GM,"<p>Glue Stick - 15GM by Flamingo. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Flamingo,Desk & Tools,"Desk & Tools, Glue, Flamingo",TRUE,Title,Default Title,8802946502080,8802946502080,200,,deny,manual,2.5,TRUE,TRUE,active
marine-animal-solid-watercolor-paint-set,Marine Animal Solid Watercolor Paint Set,"<p>Marine Animal Solid Watercolor Paint Set by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Art & Craft,"Art & Craft, Coloring Activity, Y.Plus+",TRUE,Title,Default Title,6978292120246,6978292120246,200,,deny,manual,13.0,TRUE,TRUE,active
eva-zipper-bag,Eva Zipper Bag,"<p>Eva Zipper Bag by Flamingo. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Flamingo,Files & Folders,"Files & Folders, Folder, Flamingo",TRUE,Title,Default Title,4255778644420,4255778644420,200,,deny,manual,5.5,TRUE,TRUE,active
spinner-eraser-12pc-box,Spinner Eraser 12PC Box,"<p>Spinner Eraser 12PC Box by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Desk & Tools,"Desk & Tools, Eraser, Y.Plus+",TRUE,Title,Default Title,6973157014180,6973157014180,200,,deny,manual,2.5,TRUE,TRUE,active
squeaky-clean-wall-coloring-stickers,Squeaky Clean Wall Coloring Stickers,"<p>Squeaky Clean Wall Coloring Stickers by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Stickers & Sticky Notes,"Stickers & Sticky Notes, Coloring Activity, Y.Plus+",TRUE,Title,Default Title,6973157012100,6973157012100,200,,deny,manual,14.0,TRUE,TRUE,active
button-envelop-2-pocket,Button Envelop 2 Pocket,"<p>Button Envelop 2 Pocket by Flamingo. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Flamingo,Files & Folders,"Files & Folders, Folder, Flamingo",TRUE,Title,Default Title,4255778643867,4255778643867,200,,deny,manual,1.5,TRUE,TRUE,active
button-envelop,Button Envelop,"<p>Button Envelop by Flamingo. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Flamingo,Files & Folders,"Files & Folders, Folder, Flamingo",TRUE,Title,Default Title,4255778643881,4255778643881,200,,deny,manual,1.9,TRUE,TRUE,active
star-24col-set-w-shr,Star 24COL Set W/shr,"<p>Star 24COL Set W/shr by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Pens & Pencils,"Pens & Pencils, Colour Pencil, Y.Plus+",TRUE,Title,Default Title,6973157012902,6973157012902,200,,deny,manual,14.0,TRUE,TRUE,active
elephant-12-super-washable,Elephant 12 Super Washable,"<p>Elephant 12 Super Washable by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Pens & Pencils,"Pens & Pencils, Washable Pen, Y.Plus+",TRUE,Title,Default Title,4711678080985,4711678080985,200,,deny,manual,14.0,TRUE,TRUE,active
peanut-crayons-fine-motor-box,Peanut Crayons Fine Motor Box,"<p>Peanut Crayons Fine Motor Box by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Art & Craft,"Art & Craft, Organizer, Y.Plus+",TRUE,Title,Default Title,600609870785,600609870785,200,,deny,manual,32.0,TRUE,TRUE,active
kw-cutting-knife-large,Kw Cutting Knife-large,"<p>Kw Cutting Knife-large by Kw.Trio. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Kw.Trio,Desk & Tools,"Desk & Tools, Cutter, Kw.Trio",TRUE,Title,Default Title,4714218150070,4714218150070,200,,deny,manual,7.0,TRUE,TRUE,active
display-file-18-pocket,Display File 18 Pocket,"<p>Display File 18 Pocket by Flamingo. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Flamingo,Files & Folders,"Files & Folders, Folder, Flamingo",TRUE,Title,Default Title,6920277470730,6920277470730,200,,deny,manual,8.0,TRUE,TRUE,active
zoo-ereaser,Zoo Ereaser,"<p>Zoo Ereaser by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Desk & Tools,"Desk & Tools, Eraser, Y.Plus+",TRUE,Title,Default Title,6973157018522,6973157018522,200,,deny,manual,1.5,TRUE,TRUE,active
career-eraser,Career Eraser,"<p>Career Eraser by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Desk & Tools,"Desk & Tools, Eraser, Y.Plus+",TRUE,Title,Default Title,6973157018515,6973157018515,200,,deny,manual,1.5,TRUE,TRUE,active
pocket-water-color,Pocket Water Color,"<p>Pocket Water Color by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Art & Craft,"Art & Craft, Water Color, Y.Plus+",TRUE,Title,Default Title,6973157019093,6973157019093,200,,deny,manual,15.0,TRUE,TRUE,active
princess-solid-watercolor-paint-set,Princess Solid Watercolor Paint Set,"<p>Princess Solid Watercolor Paint Set by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Art & Craft,"Art & Craft, Coloring Activity, Y.Plus+",TRUE,Title,Default Title,6978292120239,6978292120239,200,,deny,manual,13.0,TRUE,TRUE,active
color-pencil-12in-metal-tube,Color Pencil 12IN Metal Tube,"<p>Color Pencil 12IN Metal Tube by Y.Plus+. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Y.Plus+,Pens & Pencils,"Pens & Pencils, Colour Pencil, Y.Plus+",TRUE,Title,Default Title,4711678077237,4711678077237,200,,deny,manual,10.0,TRUE,TRUE,active
60ml-whiteboard-cleaner,60ML Whiteboard Cleaner,"<p>60ML Whiteboard Cleaner by Flamingo. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Flamingo,Desk & Tools,"Desk & Tools, White Board, Flamingo",TRUE,Title,Default Title,4255778601263,4255778601263,200,,deny,manual,4.0,TRUE,TRUE,active
scissors-8-5,"Scissors 8.5""","<p>Scissors 8.5"" by Flamingo. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Flamingo,Desk & Tools,"Desk & Tools, Scissors, Flamingo",TRUE,Title,Default Title,6947503093792,6947503093792,200,,deny,manual,8.0,TRUE,TRUE,active
eyes-tube,Eyes Tube,"<p>Eyes Tube by Flamingo. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Flamingo,Art & Craft,"Art & Craft, Art&Craft, Flamingo",TRUE,Title,Default Title,6973583940213,6973583940213,200,,deny,manual,12.0,TRUE,TRUE,active
kokuyo-a6-80sheets,Kokuyo A6 80SHEETS,"<p>Kokuyo A6 80SHEETS by Kokuyo. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Kokuyo,Notebooks & Books,"Notebooks & Books, Notebook, Kokuyo",TRUE,Title,Default Title,4901480407289,4901480407289,200,,deny,manual,26.0,TRUE,TRUE,active
kokuyo-4mm-grid,Kokuyo 4MM Grid,"<p>Kokuyo 4MM Grid by Kokuyo. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Kokuyo,Notebooks & Books,"Notebooks & Books, Notebook, Kokuyo",TRUE,Title,Default Title,4901480367507,4901480367507,200,,deny,manual,72.0,TRUE,TRUE,active
campus-notebook,Campus Notebook,"<p>Campus Notebook by Kokuyo. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Kokuyo,Notebooks & Books,"Notebooks & Books, Notebook, Kokuyo",TRUE,Title,Default Title,4901480385372,4901480385372,200,,deny,manual,21.0,TRUE,TRUE,active
nekoni-hamster,Nekoni Hamster,"<p>Nekoni Hamster. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,1400000681329,1400000681329,200,,deny,manual,7.0,TRUE,TRUE,active
nekoni-wildlife,Nekoni Wildlife,"<p>Nekoni Wildlife. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,1400000681305,1400000681305,200,,deny,manual,7.0,TRUE,TRUE,active
nekoni-sealife,Nekoni Sealife,"<p>Nekoni Sealife. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,1400000681299,1400000681299,200,,deny,manual,7.0,TRUE,TRUE,active
nekoni-cat,Nekoni Cat,"<p>Nekoni Cat. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,1400000681312,1400000681312,200,,deny,manual,7.0,TRUE,TRUE,active
black-cat,Black Cat,"<p>Black Cat. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,6999030231109,6999030231109,200,,deny,manual,4.0,TRUE,TRUE,active
nekoni-black-cat,Nekoni Black Cat,"<p>Nekoni Black Cat. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,1400000681282,1400000681282,200,,deny,manual,7.0,TRUE,TRUE,active
nekoni-cat-dog,Nekoni Cat&dog,"<p>Nekoni Cat&dog. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,1400000681275,1400000681275,200,,deny,manual,7.0,TRUE,TRUE,active
mickey-mouse,Mickey Mouse,"<p>Mickey Mouse. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,8859739673403,8859739673403,200,,deny,manual,7.0,TRUE,TRUE,active
nekoni-lovley-kitty,Nekoni Lovley Kitty,"<p>Nekoni Lovley Kitty. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,6941348513477,6941348513477,200,,deny,manual,5.0,TRUE,TRUE,active
moshi-moshi,Moshi Moshi,"<p>Moshi Moshi. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,1400000621615,1400000621615,200,,deny,manual,7.0,TRUE,TRUE,active
winnie-the-pooh,Winnie the Pooh,"<p>Winnie the Pooh. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,8859739673656,8859739673656,200,,deny,manual,6.0,TRUE,TRUE,active
winnie-the-pooh-36pcs,Winnie the Pooh 36PCS,"<p>Winnie the Pooh 36PCS. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,8859739673687,8859739673687,200,,deny,manual,15.0,TRUE,TRUE,active
mickey-mouse-36pcs,Mickey Mouse 36PCS,"<p>Mickey Mouse 36PCS. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,8859739673427,8859739673427,200,,deny,manual,15.0,TRUE,TRUE,active
beautiful-life,Beautiful > Life,"<p>Beautiful > Life. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,6912345674584,6912345674584,200,,deny,manual,13.0,TRUE,TRUE,active
moshi-moshi-2,Moshi Moshi,"<p>Moshi Moshi. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,8859829620409,8859829620409,200,,deny,manual,4.0,TRUE,TRUE,active
daily-life-of-cats,Daily Life of Cats,"<p>Daily Life of Cats. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,6920250911021,6920250911021,200,,deny,manual,7.0,TRUE,TRUE,active
nekoni-mini,Nekoni Mini,"<p>Nekoni Mini. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,6941348506233,6941348506233,200,,deny,manual,8.0,TRUE,TRUE,active
the-animal-family,The Animal Family,"<p>The Animal Family. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,1400000614785,1400000614785,200,,deny,manual,4.0,TRUE,TRUE,active
nekoni-lovley-bunny,Nekoni Lovley Bunny,"<p>Nekoni Lovley Bunny. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,6941348513491,6941348513491,200,,deny,manual,5.0,TRUE,TRUE,active
nekoni-lovely-puppy,Nekoni Lovely Puppy,"<p>Nekoni Lovely Puppy. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Stickers & Sticky Notes,"Stickers & Sticky Notes, Stickers, Origin: Thailand",TRUE,Title,Default Title,6941348513460,6941348513460,200,,deny,manual,5.0,TRUE,TRUE,active
gift-scratch-card,Gift Scratch Card,"<p>Gift Scratch Card. Available at Tiny Inks, Abu Dhabi.</p><p>Delivery across Abu Dhabi in 1–2 business days and the rest of the UAE in 2–4. Free gift wrap on every order.</p>",Tiny Inks,Art & Craft,"Art & Craft, Diy, Origin: Thailand",TRUE,Title,Default Title,6932147883625,6932147883625,200,,deny,manual,20.0,TRUE,TRUE,active
